iter	Passed	Remaining
0	135	134915
1	135	67705
2	136	45321
3	137	34113
4	137	27372
5	138	22886
6	138	19672
7	139	17280
8	140	15438
9	140	13923
10	141	12697
11	141	11678
12	142	10822
13	143	10096
14	143	9455
15	144	8892
16	145	8405
17	146	7972
18	147	7594
19	147	7243
20	148	6925
21	149	6636
22	149	6368
23	150	6134
24	151	5918
25	152	5713
26	153	5528
27	154	5351
28	154	5183
29	155	5030
30	156	4891
31	157	4753
32	158	4630
33	158	4510
34	159	4396
35	160	4286
36	160	4182
37	161	4082
38	161	3989
39	162	3902
40	163	3818
41	164	3742
42	164	3667
43	165	3595
44	166	3528
45	166	3461
46	167	3397
47	168	3337
48	169	3280
49	169	3225
50	170	3171
51	171	3118
52	171	3066
53	172	3017
54	173	2977
55	174	2934
56	174	2891
57	175	2852
58	176	2813
59	177	2773
60	177	2733
61	178	2696
62	178	2659
63	179	2625
64	180	2590
65	180	2556
66	181	2524
67	181	2492
68	182	2461
69	182	2431
70	183	2402
71	184	2374
72	184	2346
73	185	2319
74	185	2293
75	186	2267
76	187	2242
77	187	2217
78	188	2193
79	188	2170
80	189	2147
81	189	2125
82	190	2101
83	190	2081
84	191	2060
85	192	2040
86	192	2020
87	193	2001
88	193	1982
89	194	1964
90	194	1946
91	195	1928
92	196	1911
93	196	1895
94	197	1880
95	198	1865
96	198	1850
97	199	1834
98	199	1819
99	200	1805
100	201	1792
101	202	1779
102	202	1766
103	203	1753
104	204	1740
105	204	1727
106	205	1713
107	205	1700
108	206	1690
109	207	1678
110	208	1666
111	208	1655
112	209	1643
113	210	1632
114	210	1621
115	211	1609
116	211	1599
117	212	1589
118	213	1578
119	213	1568
120	214	1558
121	214	1546
122	215	1537
123	216	1527
124	216	1517
125	217	1508
126	218	1499
127	218	1491
128	219	1482
129	220	1473
130	220	1465
131	221	1457
132	222	1449
133	223	1441
134	224	1435
135	224	1427
136	225	1420
137	226	1412
138	226	1405
139	227	1397
140	228	1390
141	228	1382
142	229	1374
143	230	1368
144	230	1360
145	231	1354
146	232	1347
147	232	1340
148	233	1334
149	234	1328
150	235	1322
151	236	1317
152	236	1310
153	237	1304
154	238	1298
155	238	1292
156	239	1286
157	240	1280
158	241	1275
159	241	1269
160	242	1262
161	242	1256
162	243	1251
163	244	1245
164	245	1239
165	245	1234
166	246	1229
167	247	1223
168	247	1217
169	248	1212
170	248	1206
171	249	1201
172	250	1196
173	250	1190
174	251	1186
175	252	1181
176	252	1176
177	253	1171
178	254	1166
179	254	1161
180	255	1157
181	256	1153
182	257	1148
183	257	1143
184	258	1139
185	259	1134
186	259	1130
187	260	1125
188	261	1121
189	262	1117
190	262	1113
191	263	1109
192	264	1104
193	264	1099
194	265	1094
195	265	1090
196	266	1086
197	267	1082
198	267	1078
199	268	1074
200	269	1070
201	270	1066
202	270	1063
203	271	1059
204	272	1056
205	273	1052
206	273	1048
207	274	1044
208	274	1040
209	275	1036
210	276	1032
211	276	1028
212	277	1025
213	278	1022
214	279	1018
215	279	1015
216	280	1012
217	281	1008
218	281	1004
219	282	1000
220	282	997
221	283	994
222	284	991
223	285	987
224	285	984
225	286	980
226	286	976
227	287	973
228	288	970
229	289	967
230	289	964
231	290	961
232	291	958
233	291	954
234	292	952
235	293	948
236	293	945
237	294	942
238	295	940
239	296	938
240	297	935
241	297	932
242	298	929
243	299	926
244	299	923
245	300	921
246	301	918
247	302	916
248	302	913
249	303	910
250	304	907
251	304	904
252	305	902
253	306	899
254	307	897
255	307	895
256	308	892
257	309	889
258	309	886
259	310	883
260	311	880
261	311	878
262	312	875
263	312	872
264	313	869
265	313	866
266	314	863
267	315	860
268	315	857
269	316	855
270	316	852
271	317	850
272	318	847
273	318	844
274	319	841
275	319	839
276	320	836
277	321	834
278	321	831
279	322	828
280	323	826
281	323	823
282	324	821
283	324	818
284	325	816
285	325	813
286	326	811
287	327	808
288	327	806
289	328	803
290	329	801
291	329	799
292	330	797
293	331	795
294	332	793
295	332	791
296	333	789
297	334	787
298	334	785
299	335	782
300	336	780
301	336	778
302	337	776
303	338	774
304	338	772
305	339	770
306	340	767
307	340	765
308	341	763
309	341	761
310	342	759
311	343	756
312	343	754
313	344	752
314	345	751
315	346	748
316	346	746
317	347	744
318	347	742
319	348	740
320	349	738
321	350	736
322	350	735
323	351	733
324	351	731
325	352	728
326	353	727
327	353	724
328	354	723
329	355	721
330	355	719
331	356	717
332	357	715
333	357	713
334	358	710
335	358	709
336	359	707
337	360	705
338	360	703
339	361	702
340	362	700
341	362	698
342	363	696
343	364	694
344	364	692
345	365	690
346	365	688
347	366	686
348	366	684
349	367	682
350	368	680
351	368	678
352	369	676
353	369	674
354	370	672
355	371	671
356	371	669
357	372	667
358	372	665
359	373	663
360	374	662
361	374	660
362	375	658
363	375	656
364	376	654
365	376	653
366	377	651
367	378	649
368	378	647
369	379	646
370	380	644
371	380	642
372	381	640
373	381	639
374	382	637
375	383	635
376	383	634
377	384	632
378	384	630
379	385	628
380	385	627
381	386	625
382	387	623
383	387	622
384	388	620
385	389	619
386	389	617
387	390	615
388	391	614
389	391	612
390	392	611
391	393	609
392	393	608
393	394	606
394	395	605
395	395	603
396	396	602
397	397	600
398	397	598
399	398	597
400	398	595
401	399	594
402	400	593
403	400	591
404	401	589
405	402	588
406	402	586
407	403	584
408	403	583
409	404	582
410	405	580
411	405	579
412	406	577
413	407	576
414	407	575
415	408	573
416	409	572
417	409	570
418	410	569
419	411	568
420	412	566
421	412	565
422	413	563
423	414	562
424	414	561
425	415	559
426	416	558
427	416	557
428	417	555
429	418	554
430	418	552
431	419	551
432	420	550
433	420	548
434	421	547
435	422	546
436	422	544
437	423	543
438	424	542
439	424	540
440	425	539
441	425	537
442	426	536
443	427	535
444	428	533
445	428	532
446	429	531
447	430	529
448	430	528
449	431	527
450	432	525
451	432	524
452	433	523
453	434	522
454	434	520
455	435	519
456	435	517
457	436	516
458	437	515
459	437	513
460	438	512
461	439	511
462	439	510
463	440	508
464	440	507
465	441	506
466	442	505
467	443	503
468	443	502
469	444	501
470	445	500
471	445	498
472	446	497
473	447	496
474	447	494
475	448	493
476	448	492
477	449	490
478	449	489
479	450	488
480	451	486
481	451	485
482	452	484
483	452	482
484	453	481
485	453	480
486	454	478
487	455	477
488	455	476
489	456	475
490	457	473
491	457	472
492	458	471
493	458	469
494	459	468
495	459	467
496	460	465
497	461	464
498	461	463
499	462	462
500	462	460
501	463	459
502	463	458
503	464	456
504	464	455
505	465	454
506	465	453
507	466	451
508	467	450
509	467	449
510	468	448
511	468	446
512	469	445
513	469	444
514	470	443
515	471	442
516	472	441
517	472	439
518	473	438
519	473	437
520	474	436
521	474	434
522	475	433
523	476	432
524	476	431
525	477	430
526	478	429
527	479	428
528	479	427
529	480	425
530	480	424
531	481	423
532	482	422
533	482	421
534	483	420
535	484	419
536	484	417
537	485	416
538	485	415
539	486	414
540	486	413
541	487	411
542	488	410
543	488	409
544	489	408
545	489	407
546	490	406
547	491	405
548	491	403
549	492	402
550	492	401
551	493	400
552	493	399
553	494	398
554	495	396
555	495	395
556	496	394
557	496	393
558	497	392
559	497	391
560	498	390
561	499	389
562	499	388
563	500	387
564	501	385
565	501	384
566	502	383
567	503	382
568	503	381
569	504	380
570	505	379
571	505	378
572	506	377
573	507	376
574	507	375
575	508	374
576	508	373
577	509	372
578	510	371
579	510	369
580	511	368
581	512	367
582	512	366
583	513	365
584	513	364
585	514	363
586	515	362
587	515	361
588	516	360
589	517	359
590	517	358
591	518	357
592	519	356
593	519	355
594	520	354
595	520	353
596	521	352
597	522	351
598	522	350
599	523	349
600	524	348
601	524	346
602	525	346
603	526	345
604	526	343
605	527	342
606	528	341
607	528	340
608	529	339
609	529	338
610	530	337
611	531	336
612	532	335
613	532	335
614	533	334
615	534	333
616	534	332
617	535	331
618	536	330
619	537	329
620	538	328
621	538	327
622	539	326
623	540	325
624	540	324
625	541	323
626	542	322
627	542	321
628	543	320
629	543	319
630	544	318
631	545	317
632	545	316
633	546	315
634	546	314
635	547	313
636	547	312
637	548	311
638	548	310
639	549	309
640	550	308
641	550	307
642	551	306
643	551	305
644	552	304
645	553	303
646	553	302
647	554	301
648	554	300
649	555	299
650	555	298
651	556	297
652	557	296
653	557	295
654	558	294
655	558	292
656	559	292
657	560	291
658	560	290
659	561	289
660	562	288
661	562	287
662	563	286
663	564	285
664	564	284
665	565	283
666	565	282
667	566	281
668	567	280
669	567	279
670	568	278
671	568	277
672	569	276
673	570	275
674	570	274
675	571	273
676	571	272
677	572	271
678	572	270
679	573	269
680	573	268
681	574	267
682	575	266
683	575	265
684	576	264
685	576	263
686	577	263
687	577	262
688	578	261
689	578	260
690	579	259
691	580	258
692	580	257
693	581	256
694	581	255
695	582	254
696	583	253
697	584	252
698	584	251
699	585	250
700	585	249
701	586	248
702	586	247
703	587	247
704	588	246
705	588	245
706	589	244
707	590	243
708	590	242
709	591	241
710	592	240
711	592	239
712	593	238
713	593	237
714	594	236
715	594	236
716	595	235
717	596	234
718	596	233
719	597	232
720	597	231
721	598	230
722	598	229
723	599	228
724	600	227
725	600	226
726	601	225
727	601	224
728	602	223
729	602	222
730	603	222
731	603	221
732	604	220
733	605	219
734	605	218
735	606	217
736	606	216
737	607	215
738	608	214
739	608	213
740	609	212
741	609	212
742	610	211
743	610	210
744	611	209
745	612	208
746	612	207
747	613	206
748	614	205
749	614	204
750	615	204
751	616	203
752	617	202
753	617	201
754	618	200
755	618	199
756	619	198
757	620	198
758	621	197
759	622	196
760	622	195
761	623	194
762	624	193
763	624	193
764	625	192
765	626	191
766	627	190
767	627	189
768	628	188
769	629	187
770	629	186
771	630	186
772	630	185
773	631	184
774	632	183
775	633	182
776	633	181
777	634	181
778	635	180
779	635	179
780	636	178
781	637	177
782	638	176
783	638	176
784	639	175
785	640	174
786	640	173
787	641	172
788	641	171
789	642	170
790	643	169
791	643	169
792	644	168
793	645	167
794	645	166
795	646	165
796	646	164
797	647	163
798	648	163
799	649	162
800	650	161
801	650	160
802	651	159
803	652	158
804	652	158
805	653	157
806	654	156
807	654	155
808	655	154
809	656	153
810	656	153
811	657	152
812	658	151
813	658	150
814	659	149
815	660	148
816	661	148
817	661	147
818	662	146
819	662	145
820	663	144
821	663	143
822	664	142
823	665	142
824	665	141
825	666	140
826	666	139
827	667	138
828	668	137
829	668	136
830	669	136
831	669	135
832	670	134
833	671	133
834	672	132
835	672	131
836	673	131
837	674	130
838	674	129
839	675	128
840	676	127
841	677	127
842	677	126
843	678	125
844	679	124
845	679	123
846	680	122
847	681	122
848	682	121
849	682	120
850	683	119
851	683	118
852	684	117
853	685	117
854	685	116
855	686	115
856	687	114
857	687	113
858	688	113
859	689	112
860	689	111
861	690	110
862	691	109
863	691	108
864	692	108
865	693	107
866	694	106
867	694	105
868	695	104
869	696	104
870	696	103
871	697	102
872	697	101
873	698	100
874	699	99
875	700	99
876	700	98
877	701	97
878	702	96
879	702	95
880	703	95
881	704	94
882	705	93
883	705	92
884	706	91
885	707	91
886	708	90
887	708	89
888	709	88
889	710	87
890	711	86
891	711	86
892	712	85
893	712	84
894	713	83
895	714	82
896	715	82
897	715	81
898	716	80
899	716	79
900	717	78
901	718	78
902	718	77
903	719	76
